Date,Week,Region,Brand,Category,Subcategory,Revenue,COGS,Gross_Profit,Operating_Expenses,Operating_Income,Units,Gross_Margin_Percentage,Operating_Margin_Percentage
2021-01-30,1,Canada,Aerie,Accessories,N/A,1003721.3,542456.08,461265.23,275842.11,185423.11,35103,45.96,18.47
2021-01-30,1,Canada,Aerie,Activewear,N/A,1944362.29,1197815.73,746546.56,538149.48,208397.08,59312,38.4,10.72
2021-01-30,1,Canada,Aerie,Intimates,N/A,2715029.08,1637443.6,1077585.48,778969.97,298615.52,95830,39.69,11.0
2021-01-30,1,Canada,Aerie,Swim,N/A,976226.9,566729.27,409497.63,274519.5,134978.13,37879,41.95,13.83
2021-01-30,1,Canada,Aerie,Tops,N/A,1256827.97,802938.54,453889.42,387202.52,66686.9,31756,36.11,5.31
2021-01-30,1,Canada,American Eagle,Mens Apparel,Accessories,3057005.12,1737625.61,1319379.52,831588.64,487790.87,95062,43.16,15.96
2021-01-30,1,Canada,American Eagle,Mens Apparel,Active Bottoms,2268744.14,1344848.2,923895.94,705036.59,218859.35,49951,40.72,9.65
2021-01-30,1,Canada,American Eagle,Mens Apparel,Jeans,5018180.43,3021580.42,1996600.01,1285034.91,711565.1,112535,39.79,14.18
2021-01-30,1,Canada,American Eagle,Mens Apparel,Others,2272159.46,1472947.95,799211.51,622616.8,176594.71,62616,35.17,7.77
2021-01-30,1,Canada,American Eagle,Mens Apparel,Tops,4128189.66,2534992.36,1593197.3,1070205.93,522991.37,93261,38.59,12.67
2021-01-30,1,Canada,American Eagle,Womens Apparel,Accessories,2357973.39,1292307.24,1065666.15,705913.33,359752.82,51095,45.19,15.26
2021-01-30,1,Canada,American Eagle,Womens Apparel,Dresses,2400708.21,1312794.31,1087913.89,684543.55,403370.34,71171,45.32,16.8
2021-01-30,1,Canada,American Eagle,Womens Apparel,Jeans,4985255.19,2889553.58,2095701.61,1342587.41,753114.21,110510,42.04,15.11
